Domestic existing building stock and tenure split,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,variable,All stock,Owned or share owned share,Social rented share,Private rented share,Fraction on gas,Fraction fuel poor,,,,,,
,scenario,All,All,All,All,All,All,,,,,,
,year,2020,2020,2020,2020,2020,2020,,,,,,
,sector,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,,,,,,
,,,,,,,,,,,,,
,LSOA Code,All stock,Owner occupied share,Social rented share,Private rented share,Fraction on gas,Fraction fuel poor,LAD20NM,CTYUA19CD,CTYUA19NM,LEP20CD,LEP20NM,Licence area
,E01000001,1056,0.6119,0.0468,0.3413,0.0571,0.0630,City of London,E09000001,City of London,E37000051,London,LPN
,E01000002,1155,0.6446,0.0578,0.2976,0.0146,0.0350,City of London,E09000001,City of London,E37000051,London,LPN
,E01000003,1182,0.4015,0.3611,0.2375,0.3847,0.0850,City of London,E09000001,City of London,E37000051,London,LPN
,E01000005,563,0.0985,0.6681,0.2334,0.4599,0.0670,City of London,E09000001,City of London,E37000051,London,LPN
,E01000006,529,0.6354,0.0331,0.3315,0.7445,0.1500,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
,E01000007,977,0.2206,0.4069,0.3725,0.5184,0.0770,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
,E01000008,541,0.1708,0.6660,0.1631,0.6813,0.1150,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
,E01000009,654,0.4075,0.2053,0.3871,0.7666,0.1280,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
,E01000010,1331,0.2421,0.2611,0.4968,0.4259,0.1460,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
,E01000011,471,0.5186,0.0766,0.4048,0.8286,0.2550,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
,E01000012,846,0.3037,0.2206,0.4756,0.4919,0.1440,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
,E01000013,654,0.4492,0.3908,0.1600,0.9199,0.1320,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000014,652,0.4671,0.3762,0.1567,0.8703,0.1010,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000015,855,0.4246,0.3218,0.2536,0.9736,0.1280,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000016,643,0.4888,0.3610,0.1502,0.8641,0.1190,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000017,628,0.4811,0.3924,0.1264,0.9456,0.1200,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000018,630,0.4984,0.3824,0.1193,0.9691,0.1210,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000019,508,0.5595,0.2500,0.1905,0.9367,0.1810,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
,E01000020,641,0.5231,0.3185,0.1585,0.9029,0.1480,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
,E01000021,595,0.4182,0.2749,0.3069,0.7579,0.1760,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
,E01000022,492,0.5633,0.2595,0.1772,0.6784,0.1580,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
,E01000023,1478,0.4420,0.2720,0.2860,0.2443,0.1310,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
,E01000024,434,0.5351,0.2873,0.1776,0.9546,0.1630,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
